NO,共通ID,都道府県名及び市町村名,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
33799,E1312300002201,東京都江戸川区,松江五中,東京都江戸川区一之江6-18-1,,,,1,,,,,1,35.688863559998,139.877441195,
33800,E1312300003201,東京都江戸川区,都立葛西工科高校,東京都江戸川区一之江7-68-1,,,,1,,,,,1,35.683604,139.878877,
33801,E1312300004201,東京都江戸川区,葛西二中,東京都江戸川区宇喜田町1085,,,,1,,,,,1,35.678974213846,139.86206752468,
33802,E1312300005201,東京都江戸川区,篠崎二中,東京都江戸川区下篠崎町14-1,,,,1,,,,,1,35.699532720716,139.91301812017,
33803,E1312300006201,東京都江戸川区,江戸川小,東京都江戸川区江戸川1-1-16,,,,1,,,,,1,35.686318995216,139.90686367549,
33804,E1312300007201,東京都江戸川区,下鎌田東小,東京都江戸川区江戸川2-16-31,,,,1,,,,,1,35.68671164477,139.90133912643,
33805,E1312300008201,東京都江戸川区,瑞江中,東京都江戸川区江戸川4-16,,,,1,,,,,1,35.679448970974,139.88439291926,
33806,E1312300009201,東京都江戸川区,一之江小,東京都江戸川区江戸川5-18-3,,,,1,,,,,1,35.674606103559,139.87935955887,
33807,E1312300115201,東京都江戸川区,二之江小,東京都江戸川区江戸川6-44,,,,1,,,,,1,35.67572,139.879288,
33808,E1312300010201,東京都江戸川区,鹿骨中,東京都江戸川区鹿骨2-12-1,,,,1,,,,,1,35.707874199605,139.89340274068,
33809,E1312300011201,東京都江戸川区,鹿骨東小,東京都江戸川区鹿骨3-7-1,,,,1,,,,,1,35.711468169077,139.89239424528,
33810,E1312300012201,東京都江戸川区,小岩五中,東京都江戸川区鹿骨5-27-1,,,,1,,,,,1,35.717401880907,139.88620856306,
33811,E1312300013201,東京都江戸川区,鹿骨松本小,東京都江戸川区鹿骨6-3-5,,,,1,,,,,1,35.712674557582,139.88422282247,
33812,E1312300015201,東京都江戸川区,篠崎小,東京都江戸川区篠崎町3-2-18,,,,1,,,,,1,35.704740426327,139.9089377542,
33813,E1312300016201,東京都江戸川区,篠崎中,東京都江戸川区篠崎町5-12-19,,,,1,,,,,1,35.70305721104,139.90878223554,
33814,E1312300017201,東京都江戸川区,篠崎四小,東京都江戸川区篠崎町8-12-8,,,,1,,,,,1,35.704760795701,139.89885240592,
33815,E1312300018201,東京都江戸川区,春江中,東京都江戸川区春江町2-47-1,,,,1,,,,,1,35.70105146397,139.89125599861,
33816,E1312300019201,東京都江戸川区,一之江二小,東京都江戸川区春江町4-16,,,,1,,,,,1,35.682347647109,139.87842396435,
33817,E1312300020201,東京都江戸川区,二之江二小,東京都江戸川区春江町5-13,,,,1,,,,,1,35.679846864291,139.87672663195,
33818,E1312300021201,東京都江戸川区,二之江中,東京都江戸川区春江町5-3-1,,,,1,,,,,1,35.681942443316,139.87710540358,
33819,E1312300022201,東京都江戸川区,小松川二中,東京都江戸川区小松川2-10-2,,,,1,,,,,1,35.697795194276,139.85279571828,
33820,E1312300023201,東京都江戸川区,小松川二小,東京都江戸川区小松川3-6-4,,,,1,,,,,1,35.697321812792,139.84939579007,
33821,E1312300024201,東京都江戸川区,松江小,東京都江戸川区松江1-16-5,,,,1,,,,,1,35.697747322217,139.87010242138,
33822,E1312300025201,東京都江戸川区,松江一中,東京都江戸川区松江5-5-1,,,,1,,,,,1,35.688655019079,139.86762519839,
33823,E1312300026201,東京都江戸川区,松江六中,東京都江戸川区松江7-16-18,,,,1,,,,,1,35.691117567996,139.87382335586,
33824,E1312300027201,東京都江戸川区,西一之江小,東京都江戸川区松江7-17-1,,,,1,,,,,1,35.689970071741,139.87348831409,
33825,E1312300028201,東京都江戸川区,私立関東第一高校,東京都江戸川区松島2-10-11,,,,1,,,,,1,35.70796,139.860354,
33826,E1312300029201,東京都江戸川区,旧二松江小,東京都江戸川区松島2-16-20,,,,1,,,,,1,35.704718504623,139.86136191922,
33827,E1312300030201,東京都江戸川区,松江二中,東京都江戸川区松島2-3-1,,,,1,,,,,1,35.706188944534,139.85995563799,
33828,E1312300031201,東京都江戸川区,都立江戸川高校,東京都江戸川区松島2-38-1,,,,1,,,,,1,35.708695,139.865907,
33829,E1312300032201,東京都江戸川区,西小松川小,東京都江戸川区松島3-30-6,,,,1,,,,,1,35.71162606159,139.86260785868,
33830,E1312300033201,東京都江戸川区,鹿本中,東京都江戸川区松本1-36-1,,,,1,,,,,1,35.718316979793,139.87676762474,
33831,E1312300034201,東京都江戸川区,鹿本小,東京都江戸川区松本2-35-7,,,,1,,,,,1,35.718588059894,139.87879804219,
33832,E1312300035201,東京都江戸川区,上一色中,東京都江戸川区上一色1-8-11,,,,1,,,,,1,35.723440460795,139.87265666555,
33833,E1312300036201,東京都江戸川区,篠崎二小,東京都江戸川区上篠崎1-3-1,,,,1,,,,,1,35.714458435919,139.90052784417,
33834,E1312300037201,東京都江戸川区,新堀小,東京都江戸川区新堀1-32-1,,,,1,,,,,1,35.704364491438,139.88824975215,
33835,E1312300038201,東京都江戸川区,春江小,東京都江戸川区瑞江1-3-30,,,,1,,,,,1,35.699041798836,139.8937089075,
33836,E1312300039202,東京都江戸川区,下鎌田小,東京都江戸川区瑞江4-19-10,,,,1,,,,,1,35.692231,139.893251,
33837,E1312300040201,東京都江戸川区,瑞江二中,東京都江戸川区瑞江4-54-1,,,,1,,,,,1,35.694641175337,139.8946698694,
33838,E1312300041201,東京都江戸川区,清新ふたば小,東京都江戸川区清新町1-1-38,,,,1,,,,,1,35.657585812358,139.85300818927,
33839,E1312300042201,東京都江戸川区,清新一小,東京都江戸川区清新町1-4-19,,,,1,,,,,1,35.661894861298,139.85268047804,
33840,E1312300043201,東京都江戸川区,清新一中,東京都江戸川区清新町1-5-14,,,,1,,,,,1,35.663197492359,139.85183586175,
33841,E1312300045201,東京都江戸川区,清新二中,東京都江戸川区清新町2-1-2,,,,1,,,,,1,35.656680401476,139.852544465,
33842,E1312300044201,東京都江戸川区,旧清新二小,東京都江戸川区清新町2-10-1,,,,1,,,,,1,35.655000117584,139.85729669588,
33843,E1312300046201,東京都江戸川区,松江四中,東京都江戸川区西一之江1-16-1,,,,1,,,,,1,35.69911239716,139.87697411994,
33844,E1312300047201,東京都江戸川区,大杉東小,東京都江戸川区西一之江2-8-5,,,,1,,,,,1,35.700817854121,139.87877656338,
33845,E1312300048201,東京都江戸川区,西葛西小,東京都江戸川区西葛西3-9-44,,,,1,,,,,1,35.66811970714,139.85739652833,
33846,E1312300049201,東京都江戸川区,六葛西小,東京都江戸川区西葛西4-5-1,,,,1,,,,,1,35.66805321762,139.86495125711,
33847,E1312300050201,東京都江戸川区,西葛西中,東京都江戸川区西葛西5-10-18,,,,1,,,,,1,35.665870105697,139.86283738886,
33848,E1312300051201,東京都江戸川区,七葛西小,東京都江戸川区西葛西7-8-1,,,,1,,,,,1,35.659960729584,139.85984628014,
33849,E1312300052201,東京都江戸川区,新田小,東京都江戸川区西葛西8-16-1,,,,1,,,,,1,35.65455197525,139.86279918409,
33850,E1312300053201,東京都江戸川区,旧上一色小,東京都江戸川区西小岩2-4-1,,,,1,,,,,1,35.732934747761,139.87337012001,
33851,E1312300054201,東京都江戸川区,西小岩小,東京都江戸川区西小岩3-19-12,,,,1,,,,,1,35.735938886227,139.8772856254,
33852,E1312300055201,東京都江戸川区,小岩四中,東京都江戸川区西小岩3-9-18,,,,1,,,,,1,35.7368120651,139.87532516233,
33853,E1312300056201,東京都江戸川区,瑞江小,東京都江戸川区西瑞江3-39,,,,1,,,,,1,35.685619391729,139.88713517059,
33854,E1312300057201,東京都江戸川区,船堀小,東京都江戸川区船堀2-22-22,,,,1,,,,,1,35.682687599598,139.86218882386,
33855,E1312300058201,東京都江戸川区,船堀二小,東京都江戸川区船堀4-14-4,,,,1,,,,,1,35.683427820071,139.86815866457,
33856,E1312300059201,東京都江戸川区,大杉二小,東京都江戸川区大杉3-11-1,,,,1,,,,,1,35.707069915918,139.8811372107,
33857,E1312300060201,東京都江戸川区,松江三中,東京都江戸川区中央1-20-1,,,,1,,,,,1,35.708736138975,139.87037135385,
33858,E1312300061201,東京都江戸川区,大杉小,東京都江戸川区中央2-16-15,,,,1,,,,,1,35.706097611752,139.87321572004,
33859,E1312300114201,東京都江戸川区,都立城東職業能力開発センター江戸川校,東京都江戸川区中央2-31-27,,,,1,,,,,1,35.706223,139.874863,
33860,E1312300062201,東京都江戸川区,三松江小,東京都江戸川区中央4-13-1,,,,1,,,,,1,35.710259338254,139.86764372275,
33861,E1312300063202,東京都江戸川区,葛西小・中,東京都江戸川区中葛西2-4-3,,,,1,,,,,1,35.671474119118,139.87339480523,
33862,E1312300064201,東京都江戸川区,葛西三中,東京都江戸川区中葛西6-6-13,,,,1,,,,,1,35.659699808817,139.86542898356,
33863,E1312300065201,東京都江戸川区,四葛西小,東京都江戸川区中葛西8-8-1,,,,1,,,,,1,35.658932202057,139.87092332052,
33864,E1312300066201,東京都江戸川区,二葛西小,東京都江戸川区東葛西6-33-1,,,,1,,,,,1,35.662388400359,139.87884769581,
33865,E1312300067201,東京都江戸川区,東葛西中,東京都江戸川区東葛西6-40-1,,,,1,,,,,1,35.660892991421,139.87937812629,
33866,E1312300068201,東京都江戸川区,東葛西小,東京都江戸川区東葛西8-23-1,,,,1,,,,,1,35.654140955591,139.87964227661,
33867,E1312300070201,東京都江戸川区,篠崎三小,東京都江戸川区東篠崎1-1-16,,,,1,,,,,1,35.697047339453,139.91397107576,
33868,E1312300069201,東京都江戸川区,都立篠崎高校,東京都江戸川区東篠崎1-10-1,,,,1,,,,,1,35.700446,139.916254,
33869,E1312300071201,東京都江戸川区,小岩二中,東京都江戸川区東小岩1-6-10,,,,1,,,,,1,35.72125228847,139.89053864154,
33870,E1312300072201,東京都江戸川区,小岩一中,東京都江戸川区東小岩3-10-8,,,,1,,,,,1,35.730563626691,139.89201047464,
33871,E1312300073201,東京都江戸川区,小岩小,東京都江戸川区東小岩3-20-10,,,,1,,,,,1,35.732942700484,139.89224571309,
33872,E1312300074201,東京都江戸川区,東小岩小,東京都江戸川区東小岩4-12-1,,,,1,,,,,1,35.729341486423,139.88914379641,
33873,E1312300075201,東京都江戸川区,東小松川小,東京都江戸川区東小松川3-27-1,,,,1,,,,,1,35.693044522997,139.86590846592,
33874,E1312300076201,東京都江戸川区,瑞江三中,東京都江戸川区東瑞江1-38-33,,,,1,,,,,1,35.691563851816,139.89953908227,
33875,E1312300077201,東京都江戸川区,旧下鎌田小,東京都江戸川区東瑞江3-11-1,,,,1,,,,,1,35.691019354932,139.89367290024,
33876,E1312300078201,東京都江戸川区,都立葛西南高校,東京都江戸川区南葛西1-11-1,,,,1,,,,,1,35.653648,139.870776,
33877,E1312300079201,東京都江戸川区,南葛西小,東京都江戸川区南葛西5-10-1,,,,1,,,,,1,35.64670752433,139.8742902295,
33878,E1312300080201,東京都江戸川区,南葛西中,東京都江戸川区南葛西5-12-1,,,,1,,,,,1,35.645444612042,139.87523996454,
33879,E1312300081201,東京都江戸川区,南葛西三小,東京都江戸川区南葛西5-2-1,,,,1,,,,,1,35.643642213207,139.87074345276,
33880,E1312300082201,東京都江戸川区,南葛西二中,東京都江戸川区南葛西5-3-1,,,,1,,,,,1,35.644833373037,139.87123496282,
33881,E1312300083201,東京都江戸川区,南葛西二小,東京都江戸川区南葛西7-5-9,,,,1,,,,,1,35.649994555904,139.88025325755,
33882,E1312300084201,東京都江戸川区,鎌田小,東京都江戸川区南篠崎町2-45-18,,,,1,,,,,1,35.691467930358,139.90418309338,
33883,E1312300085201,東京都江戸川区,南篠崎小,東京都江戸川区南篠崎町4-27-5,,,,1,,,,,1,35.698182629143,139.90400210191,
33884,E1312300086201,東京都江戸川区,南小岩二小,東京都江戸川区南小岩2-16-1,,,,1,,,,,1,35.721961405772,139.88919982552,
33885,E1312300087201,東京都江戸川区,南小岩小,東京都江戸川区南小岩4-16-1,,,,1,,,,,1,35.723126921004,139.88471955779,
33886,E1312300088202,東京都江戸川区,下小岩小,東京都江戸川区南小岩5-5-1,,,,1,,,,,1,35.725785,139.878612,
33887,E1312300089201,東京都江戸川区,旧下小岩小,東京都江戸川区南小岩7-8-1,,,,1,,,,,1,35.727959723381,139.88269733303,
33888,E1312300090201,東京都江戸川区,都立小松川高校,東京都江戸川区平井1-27-10,,,,1,,,,,1,35.702615,139.852184,
33889,E1312300091202,東京都江戸川区,小松川中,東京都江戸川区平井3-20-1,,,,1,,,,,1,35.702431,139.84317,
33890,E1312300093201,東京都江戸川区,小松川小,東京都江戸川区平井4-1-23,,,,1,,,,,1,35.703555503681,139.84745130237,
33891,E1312300094201,東京都江戸川区,平井東小,東京都江戸川区平井4-28-9,,,,1,,,,,1,35.708472912851,139.8481119123,
33892,E1312300095201,東京都江戸川区,旧小松川一中,東京都江戸川区平井4-7-21,,,,1,,,,,1,35.705610844231,139.84638460951,
33893,E1312300096202,東京都江戸川区,平井南小,東京都江戸川区平井5-3-11,,,,1,,,,,1,35.704759,139.838795,
33894,E1312300097201,東京都江戸川区,旧平井二小,東京都江戸川区平井6-1-17,,,,1,,,,,1,35.706493770643,139.83618800144,
33895,E1312300098201,東京都江戸川区,平井小,東京都江戸川区平井6-35-1,,,,1,,,,,1,35.710537981845,139.84233181802,
33896,E1312300099201,東京都江戸川区,平井西小,東京都江戸川区平井7-22-24,,,,1,,,,,1,35.714569601499,139.83921545397,
33897,E1312300100201,東京都江戸川区,五葛西小,東京都江戸川区北葛西2-13-33,,,,1,,,,,1,35.674889959851,139.85571286236,
33898,E1312300101201,東京都江戸川区,三葛西小,東京都江戸川区北葛西4-2-19,,,,1,,,,,1,35.670784968767,139.86121512773,
33899,E1312300102201,東京都江戸川区,宇喜田小,東京都江戸川区北葛西5-13-1,,,,1,,,,,1,35.674544200349,139.86538132344,
33900,E1312300103201,東京都江戸川区,篠崎五小,東京都江戸川区北篠崎2-5-1,,,,1,,,,,1,35.718414608839,139.89309963938,
33901,E1312300104201,東京都江戸川区,北小岩小,東京都江戸川区北小岩2-15-1,,,,1,,,,,1,35.740476242604,139.88569097222,
33902,E1312300105201,東京都江戸川区,中小岩小,東京都江戸川区北小岩3-12-22,,,,1,,,,,1,35.737632225426,139.89174897503,
33903,E1312300106201,東京都江戸川区,上小岩小,東京都江戸川区北小岩7-2-1,,,,1,,,,,1,35.743426007706,139.88926578527,
33904,E1312300107201,東京都江戸川区,小岩三中,東京都江戸川区北小岩8-19-1,,,,1,,,,,1,35.747056026459,139.88654903275,
33905,E1312300108201,東京都江戸川区,上小岩二小,東京都江戸川区北小岩8-28-11,,,,1,,,,,1,35.747638963262,139.88695970375,
33906,E1312300109201,東京都江戸川区,本一色小,東京都江戸川区本一色2-10-1,,,,1,,,,,1,35.718576788119,139.87237358612,
33907,E1312300110201,東京都江戸川区,都立小岩高校,東京都江戸川区本一色3-10-1,,,,1,,,,,1,35.721275,139.869092,
33908,E1312300111201,東京都江戸川区,上一色南小,東京都江戸川区本一色3-28-24,,,,1,,,,,1,35.722062457633,139.87092076786,
33909,E1312300112201,東京都江戸川区,都立紅葉川高校,東京都江戸川区臨海町2-1-1,,,,1,,,,,1,35.65276,139.858795,
33910,E1312300113201,東京都江戸川区,臨海小,東京都江戸川区臨海町2-2-11,,,,1,,,,,1,35.651587922952,139.86033864648,
